UserId,age_range,gender,profession,education,income_range,geo_zone,household_size,primary_use,smartphone,demo_source
orig_user_036,25-34,Female,Employed,Bachelor,100k-200k,Urban,5,Business,No,simulated
orig_user_037,18-24,Male,Retired,Master,50k-100k,Urban,3,Personal,Yes,simulated
orig_user_038,25-34,Female,Student,Master,>400k,Suburban,4,Personal,Yes,simulated
orig_user_039,35-44,Male,Unemployed,Master,>400k,Suburban,5,Personal,No,simulated
orig_user_040,45-54,Male,Student,Secondary,200k-400k,Rural,2,Business,Yes,simulated
orig_user_041,55+,Female,Self-Employed,Bachelor,50k-100k,Urban,1,Both,Yes,simulated
orig_user_042,55+,Female,Employed,Bachelor,>400k,Suburban,3,Personal,Yes,simulated
orig_user_043,55+,Female,Student,Bachelor,100k-200k,Urban,2,Both,Yes,simulated
orig_user_044,35-44,Female,Unemployed,Bachelor,50k-100k,Rural,4,Personal,Yes,simulated
orig_user_045,35-44,Female,Self-Employed,Secondary,<50k,Urban,3,Business,Yes,simulated
orig_user_046,25-34,Female,Employed,Bachelor,100k-200k,Urban,5,Both,No,simulated
orig_user_047,18-24,Female,Employed,Secondary,50k-100k,Rural,4,Personal,Yes,simulated
orig_user_048,18-24,Male,Student,Secondary,<50k,Urban,5,Personal,Yes,simulated
orig_user_049,45-54,Female,Self-Employed,Secondary,<50k,Urban,2,Personal,Yes,simulated
orig_user_050,18-24,Male,Employed,Secondary,50k-100k,Urban,5,Personal,Yes,simulated
orig_user_051,25-34,Male,Unemployed,Master,<50k,Urban,6,Both,Yes,simulated
